id,provider,provider_id
1,1,1
1000001,1,OK10440
1000002,1,OH03148
1000003,1,IL00583
1000004,1,AR01274
1000005,1,PA00665
1000006,1,MS02525
1000007,1,KS00315
1000008,1,CA00935
1000009,1,MA00367
1000010,1,FL00001
1000011,1,MS01243
1000012,1,OH00691
1000013,1,SC01572
1000014,1,GA00602
1000015,1,OK12243
1000016,1,AL02207
1000017,1,TN82921
1000018,1,MS02217
1000019,1,KS00957
1000020,1,MS02774
1000021,1,KY00492
1000022,1,AL00512
1000023,1,VA17923
1000024,1,KY01085
1000025,1,CO02718
1000026,1,OH00716
1000027,1,MS01930
1000028,1,GA02315
1000029,1,KS01211
1000030,1,WA02009
1000031,1,TX07368
1000032,1,SD00217
1000033,1,OH02215
1000034,1,VA16311
1000035,1,ND00774
1000036,1,ID00034
1000037,1,NY01388
1000038,1,NY01389
1000039,1,KS03026
1000040,1,NC02831
1000041,1,KS03951
1000042,1,IL50563
1000043,1,IL50565
1000044,1,IL50564
1000045,1,IL50562
1000046,1,WA01638
1000047,1,MO12235
1000048,1,KS03136
1000049,1,MS00912
1000050,1,AL01911
1000051,1,NY11256
1000052,1,OK13013
1000053,1,GA06902
1000054,1,WY01098
1000055,1,IA03447
1000056,1,LA00368
1000057,1,TX02951
1000058,1,NY00630
1000059,1,AR00470
1000060,1,KS00188
1000061,1,TN07518
1000062,1,MS02147
1000063,1,MS02148
1000064,1,KS00995
1000065,1,UT53253
1000066,1,SD01758
1000067,1,NC03248
1000068,1,MS03095
1000069,1,AR00088
1000070,1,NE02568
1000071,1,MS02405
1000072,1,KY83586
1000073,1,NC02798
1000074,1,CO02779
1000075,1,CT00598
1000076,1,OH01711
1000077,1,TX03080
1000078,1,NJ00670
1000079,1,GA04891
1000080,1,GA05235
1000081,1,NH00922
1000082,1,GA02795
1000083,1,PA01787
1000084,1,IA03359
1000085,1,LA00064
1000086,1,LA00231
1000087,1,MS01249
1000088,1,MD00133
1000089,1,GA07565
1000090,1,WY00192
1000091,1,WA00611
1000092,1,KS01437
1000093,1,NY11825
1000094,1,SC02454
1000095,1,MO50704
1000096,1,NC01631
1000097,1,WA00507
1000098,1,KS01746
1000099,1,MS02437
1000100,1,KS01943
1000101,1,TX06428
1000102,1,TX06636
1000103,1,GA10008
1000104,1,SC02227
1000105,1,CA00171
1000106,1,CO02437
1000107,1,MS02477
1000108,1,MS01167
1000109,1,TN06118
1000110,1,OK00117
1000111,1,TX06380
1000112,1,PA01211
1000113,1,CO02441
1000114,1,KS01566
1000115,1,CA00584
1000116,1,MS01346
1000117,1,CA01241
1000118,1,OK30260
1000119,1,TN00716
1000120,1,WY02445
1000121,1,WA00569
1000122,1,KS02765
1000123,1,NY01140
1000124,1,IL00202
1000125,1,LA00107
1000126,1,MS01864
1000127,1,CO01641
1000128,1,AL01348
1000129,1,PA01755
1000130,1,SD02470
1000131,1,KS03112
1000132,1,WA02016
1000133,1,AL02201
1000134,1,OH00789
1000135,1,LA00525
1000136,1,NY00920
1000137,1,AL02352
1000138,1,CT00258
1000139,1,GA01767
1000140,1,KS01488
1000141,1,WI00844
1000142,1,NE02820
1000143,1,NC03273
1000144,1,IA02604
1000145,1,WA00673
1000146,1,AL02222
1000147,1,TX01126
1000148,1,KS04219
1000149,1,MD00364
1000150,1,MS00752
1000151,1,KS02866
1000152,1,TX02949
1000153,1,NJ00022
1000154,1,MO50192
1000155,1,MO50643
1000156,1,KY00024
1000157,1,TX07220
1000158,1,AL02532
1000159,1,SC01033
1000160,1,CO00665
1000161,1,WA01891
1000162,1,MO30027
1000163,1,MO30207
1000164,1,MS00355
1000165,1,SC01689
1000166,1,AZ00274
1000167,1,WY01706
1000168,1,OR00459
1000169,1,IA02976
1000170,1,KY01120
1000171,1,MT02135
1000172,1,TN11939
1000173,1,MO11341
1000174,1,IL50057
1000175,1,AZ00004
1000176,1,WA00245
1000177,1,MO40061
1000178,1,TX02964
1000179,1,IN83468
1000180,1,MO11948
1000181,1,MS02369
1000182,1,NH00431
1000183,1,MS01510
1000184,1,MT00601
1000185,1,KS00553
1000186,1,WA01983
1000187,1,WA01984
1000188,1,KS02871
1000189,1,MS02990
1000190,1,AR00631
1000191,1,MA00088
1000192,1,IA00665
1000193,1,MS02662
1000194,1,TN04719
1000195,1,MI00092
1000196,1,SC02540
1000197,1,MT02181
1000198,1,NY14130
1000199,1,NY16105
1000200,1,NJ00931
1000201,1,MT02616
1000202,1,MO11789
1000203,1,ID00727
1000204,1,KY01014
1000205,1,OK13022
1000206,1,OK11023
1000207,1,KS04475
1000208,1,NJ00894
1000209,1,CA82460
1000210,1,IL00635
1000211,1,OH00977
1000212,1,SC02415
1000213,1,MS00964
1000214,1,GA04171
1000215,1,WY02461
1000216,1,KS00540
1000217,1,OH00682
1000218,1,KS04577
1000219,1,GA07009
1000220,1,CA00071
1000221,1,CA01295
1000222,1,IL01066
1000223,1,OR00267
1000224,1,OK00119
1000225,1,OR03798
1000226,1,CT00047
1000227,1,CT00005
1000228,1,AL02202
1000229,1,MO31062
1000230,1,VT00213
1000231,1,AR00107
1000232,1,GA07053
1000233,1,NV10613
1000234,1,IL00071
1000235,1,KS01091
1000236,1,PA01921
1000237,1,KS01028
1000238,1,CO02442
1000239,1,CO02889
1000240,1,NC04631
1000241,1,IA02687
1000242,1,MS02880
1000243,1,OH00537
1000244,1,OR00187
1000245,1,OK83800
1000246,1,OK02068
1000247,1,WY83483
1000248,1,MI00613
1000249,1,AL02174
1000250,1,RI00310
1000251,1,MS00053
1000252,1,FL01002
1000253,1,WA01867
1000254,1,WA00602
1000255,1,WA01858
1000256,1,NJ00029
1000257,1,CO00589
1000258,1,CO01772
1000259,1,IA03739
1000260,1,OR04040
1000261,1,OH00248
1000262,1,IL00814
1000263,1,MS02169
1000264,1,GA08050
1000265,1,MO51214
1000266,1,GA05184
1000267,1,CA01544
1000268,1,NC01569
1000269,1,AL02053
1000270,1,KS02751
1000271,1,MO20562
1000272,1,MO20045
1000273,1,MO10554
1000274,1,MA01289
1000275,1,NE02900
1000276,1,IA02674
1000277,1,NC04091
1000278,1,NY01052
1000279,1,KS00172
1000280,1,GA05576
1000281,1,ME00193
1000282,1,KS03382
1000283,1,GA09003
1000284,1,NE02780
1000285,1,AL00335
1000286,1,OR03889
1000287,1,NV10668
1000288,1,MT03884
1000289,1,LA00187
1000290,1,IL40108
1000291,1,IN00433
1000292,1,MS01955
1000293,1,TX06278
1000294,1,MS01975
1000295,1,KS04296
1000296,1,TX00686
1000297,1,OH02808
1000298,1,IA02696
1000299,1,AL02111
1000300,1,TX05368
1000301,1,KS01576
1000302,1,SC00307
1000303,1,OH02729
1000304,1,KS02726
1000305,1,TX04579
1000306,1,OK00399
1000307,1,MS00112
1000308,1,MS00113
1000309,1,TX07269
1000310,1,OK12852
1000311,1,CO02736
1000312,1,KS01407
1000313,1,OH02810
1000314,1,OH02811
1000315,1,OH02809
1000316,1,WA00710
1000317,1,KY01185
1000318,1,SD01060
1000319,1,OK12837
1000320,1,IA02839
1000321,1,MS02927
1000322,1,VT00253
1000323,1,MI01675
1000324,1,IL40040
1000325,1,VA01923
1000326,1,NY14936
1000327,1,CA00921
1000328,1,KS07626
1000329,1,UT00011
1000330,1,MO10364
1000331,1,AL02080
1000332,1,AL02078
1000333,1,AL02079
1000334,1,GA00086
1000335,1,LA00145
1000336,1,SD01479
1000337,1,WA01038
1000338,1,KS00407
1000339,1,KS00397
1000340,1,KS03690
1000341,1,TX01764
1000342,1,OR03730
1000343,1,UT00103
1000344,1,MI00635
1000345,1,MI02419
1000346,1,MI00637
1000347,1,MS01859
1000348,1,MO50427
1000349,1,CA00877
1000350,1,SD01392
1000351,1,NC04699
1000352,1,KS04115
1000353,1,MS03343
1000354,1,UT00762
1000355,1,MT03776
1000356,1,SD00630
1000357,1,IA03361
1000358,1,FL74006
1000359,1,NC01078
1000360,1,MS00612
1000361,1,AL01871
1000362,1,IL00382
1000363,1,MA00072
1000364,1,KS04735
1000365,1,OK01074
1000366,1,KS09304
1000367,1,SC01177
1000368,1,MA02069
1000369,1,AL01770
1000370,1,OH01086
1000371,1,MS01094
1000372,1,CO00698
1000373,1,ME96165
1000374,1,MN00843
1000375,1,MS02691
1000376,1,MS02692
1000377,1,IN00046
1000378,1,MT03088
1000379,1,TX05126
1000380,1,SD02129
1000381,1,KS04733
1000382,1,MI01252
1000383,1,NY11624
1000384,1,KS01732
1000385,1,KS04868
1000386,1,NY16031
1000387,1,NC00675
1000388,1,MI00267
1000389,1,NJ00294
1000390,1,NJ00814
1000391,1,CA01220
1000392,1,MI00408
1000393,1,MI00705
1000394,1,OH01410
1000395,1,SC01797
1000396,1,GA05723
1000397,1,NV10435
1000398,1,NV10168
1000399,1,GA82309
1000400,1,MI00132
1000401,1,MS01156
1000402,1,SC02289
1000403,1,CO01060
1000404,1,TN04706
1000405,1,MO30828
1000406,1,UT53277
1000407,1,AL00585
1000408,1,MT02226
1000409,1,CA10176
1000410,1,MS00900
1000411,1,UT00329
1000412,1,CA00950
1000413,1,GA05739
1000414,1,SD00197
1000415,1,KS04138
1000416,1,FL00163
1000417,1,MT03132
1000418,1,OH01792
1000419,1,TX01726
1000420,1,NE01260
1000421,1,NC05081
1000422,1,IL50183
1000423,1,CT00252
1000424,1,CA10217
1000425,1,MO11379
1000426,1,UT50228
1000427,1,SC01178
1000428,1,MO12087
1000429,1,OH01193
1000430,1,MT02380
